time:63.1799,vol:453.327
time:63.3239,vol:454.75
time:63.5727,vol:455.672
time:63.6873,vol:457.053
time:63.7869,vol:458.497
time:63.8867,vol:458.581
time:64.0421,vol:460.024
time:64.2366,vol:461.009
time:64.3365,vol:462.058
time:64.4516,vol:463.01
time:64.5881,vol:463.904
time:64.738,vol:464.85
time:64.8439,vol:466.208
time:64.9459,vol:466.33
time:65.0919,vol:467.775
time:65.1897,vol:469.489
time:65.2865,vol:470.616
time:65.4645,vol:472.721
time:65.5859,vol:475.622
time:65.7382,vol:477.766
time:65.8437,vol:479.064
time:65.9861,vol:480.541
time:66.1642,vol:481.034
time:66.2858,vol:482.594
time:66.3913,vol:483.545
time:66.5357,vol:484.062
time:66.6889,vol:484.603
time:66.9067,vol:485.444
time:67.026,vol:486.149
time:67.1692,vol:486.557
time:67.3804,vol:486.927
time:67.5195,vol:488.482
time:67.6258,vol:489.701
time:67.777,vol:492.308
time:67.9232,vol:493.43
time:68.1087,vol:494.158
time:68.2341,vol:495.089
time:68.3735,vol:495.829
time:68.4748,vol:496.071
time:68.6253,vol:496.389
time:68.7802,vol:496.742
time:68.9242,vol:497.37
time:69.039,vol:497.499
time:69.1802,vol:497.706
time:69.3221,vol:498.791
time:69.423,vol:499.499
time:69.524,vol:501.217
time:69.7041,vol:502.448
time:69.8272,vol:503.904
time:69.9731,vol:504.574
time:70.128,vol:504.992
time:70.3266,vol:505.235
time:70.4745,vol:505.59
time:70.6223,vol:506.05
time:70.7801,vol:506.364
time:70.8744,vol:506.671
time:70.9724,vol:506.789
time:71.0749,vol:506.983
time:71.1794,vol:507.17
time:71.3221,vol:507.517
time:71.4256,vol:507.633
time:71.58,vol:508.991
time:71.7907,vol:510.325
time:71.9218,vol:512.237
time:72.0264,vol:512.36
time:72.178,vol:512.593
time:72.3278,vol:512.851
time:72.5406,vol:513.008
time:72.674,vol:513.571
time:72.7792,vol:513.959
time:72.9221,vol:514.256
time:73.0742,vol:514.465
time:73.2438,vol:514.793
time:73.3792,vol:515.298
time:73.5227,vol:515.624
time:73.6252,vol:515.665
time:73.7794,vol:516.11
time:73.9537,vol:516.373
time:74.0722,vol:516.75
time:74.1787,vol:516.959
time:74.3232,vol:517.296
time:74.4226,vol:517.688
time:74.5299,vol:518.135
time:74.6708,vol:518.276
time:74.7848,vol:518.883
time:74.8868,vol:519.702
time:75.0411,vol:521.335
time:75.1875,vol:522.869
time:75.4339,vol:525.443
time:75.5472,vol:530.481
time:75.6479,vol:532.428
time:75.8507,vol:532.951
time:75.9639,vol:534.166
time:76.1189,vol:536.659
time:76.263,vol:538.69
time:76.3638,vol:539.25
time:76.5886,vol:541.118
time:76.7058,vol:544.659
time:76.8529,vol:546.032
time:77.0012,vol:546.68
time:77.1132,vol:547.951
time:77.3024,vol:547.951
time:77.4186,vol:550.156
time:77.7095,vol:550.47
time:77.8247,vol:550.669
time:77.9795,vol:550.873
time:78.1262,vol:550.983
time:78.3365,vol:550.996
time:78.4505,vol:551.045
time:78.6008,vol:551.062
time:78.712,vol:551.074
time:78.8502,vol:551.083
time:79.0063,vol:551.091
time:79.2211,vol:551.121
time:79.3529,vol:551.199
time:79.5004,vol:551.24
time:79.6036,vol:551.707
time:79.7498,vol:552.287
time:79.9501,vol:553.321
time:80.0626,vol:555.628
time:80.164,vol:556.607
time:80.3126,vol:558.036
time:80.4625,vol:558.89
time:80.7055,vol:559.547
time:80.8194,vol:560.913
time:80.9676,vol:561.554
time:1.63758,vol:0
time:1.82773,vol:27.307
time:1.95483,vol:27.923
time:2.08352,vol:28.125
time:2.20107,vol:28.306
time:2.32866,vol:28.309
time:2.43838,vol:28.356
time:2.56204,vol:28.374
time:2.73029,vol:28.374
time:2.88612,vol:28.374
time:3.06601,vol:28.376
time:3.2669,vol:28.455
time:3.42029,vol:28.492
time:3.56027,vol:28.529
time:3.76393,vol:28.541
time:3.90862,vol:28.573
time:4.04627,vol:28.577
time:4.21695,vol:28.579
time:4.36137,vol:28.579
time:4.49787,vol:28.585
time:4.65271,vol:28.585
time:4.82208,vol:28.585
time:4.98084,vol:28.585
time:5.09723,vol:28.585
time:5.29821,vol:28.585
time:5.42729,vol:28.585
time:5.58775,vol:28.585
time:5.75394,vol:28.585
time:5.91327,vol:28.585
time:6.03534,vol:28.585
time:6.22179,vol:28.585
time:6.34675,vol:28.585
time:6.5091,vol:28.586
time:6.62456,vol:28.586
time:6.8058,vol:28.586
time:6.93438,vol:28.586
time:7.08518,vol:28.586
time:7.24551,vol:28.586
time:7.39771,vol:28.586
time:7.53226,vol:28.586
time:7.67996,vol:28.586
time:7.84456,vol:28.586
time:7.98339,vol:28.586
time:8.1316,vol:28.586
time:8.29272,vol:28.586
time:8.44151,vol:28.586
time:8.55844,vol:28.586
time:8.75988,vol:28.586
time:8.87989,vol:28.586
time:9.04533,vol:28.586
time:9.20007,vol:28.586
time:9.36704,vol:28.586
time:9.48315,vol:28.586
time:9.6576,vol:28.586
time:9.80394,vol:28.586
time:9.97059,vol:28.586
time:10.0877,vol:28.586
time:10.2602,vol:28.586
time:10.3798,vol:28.586
time:10.5311,vol:28.586
time:10.6978,vol:28.586
time:10.8556,vol:28.586
time:10.9927,vol:28.586
time:11.127,vol:28.586
time:11.3032,vol:28.586
time:11.4494,vol:28.586
time:11.5928,vol:28.586
time:11.7571,vol:28.586
time:11.9028,vol:28.586
time:12.0219,vol:28.586
time:12.2112,vol:28.586
time:12.3378,vol:28.586
time:12.5014,vol:28.586
time:12.6217,vol:28.586
time:12.7854,vol:28.586
time:12.9006,vol:28.586
time:13.0547,vol:28.586
time:13.1873,vol:29.236
time:13.31,vol:29.444
time:13.4626,vol:33.278
time:13.5888,vol:34.83
time:13.7569,vol:36.297
time:13.8753,vol:37.834
time:14.0351,vol:39.387
time:14.1566,vol:40.81
time:14.3122,vol:42.536
time:14.4404,vol:43.308
time:14.5886,vol:44.28
time:14.7338,vol:44.941
time:14.8407,vol:45.146
time:15.0084,vol:45.318
time:15.1217,vol:45.358
time:15.2667,vol:45.382
time:15.3972,vol:45.392
time:15.5433,vol:45.398
time:15.6765,vol:45.405
time:15.7909,vol:45.425
time:15.9552,vol:45.476
time:16.0677,vol:45.669
time:16.2167,vol:45.81
time:16.3429,vol:45.915
time:16.4868,vol:45.95
time:16.6234,vol:45.952
time:16.737,vol:45.953
time:16.8911,vol:45.956
time:17.0076,vol:45.958
time:17.1542,vol:45.963
time:17.2775,vol:45.972
time:17.4147,vol:46
time:17.5552,vol:46.252
time:17.6678,vol:46.885
time:17.8311,vol:47.284
time:17.9489,vol:48.908
time:18.0963,vol:50.105
time:18.2224,vol:51.427
time:18.3619,vol:52.466
time:18.4991,vol:53.876
time:18.6118,vol:54.518
time:18.7724,vol:55.401
time:18.8911,vol:56.132
time:19.0447,vol:56.49
time:19.1697,vol:57.108
time:19.3071,vol:57.637
time:19.456,vol:58.879
time:19.5608,vol:59.055
time:19.7203,vol:59.741
time:19.8359,vol:60.9
time:19.9873,vol:61.748
time:20.1219,vol:63.339
time:20.2552,vol:64.107
time:20.4032,vol:65.439
time:20.519,vol:66.434
time:20.6888,vol:66.932
time:20.8033,vol:67.502
time:20.9533,vol:68.011
time:21.0786,vol:68.418
time:21.2202,vol:68.845
time:21.3525,vol:69.332
time:21.4676,vol:69.679
time:21.6347,vol:70.313
time:21.7494,vol:71.027
time:21.9077,vol:71.845
time:22.0262,vol:72.641
time:22.1825,vol:73.545
time:22.3097,vol:74.319
time:22.4592,vol:75.194
time:22.6193,vol:76.259
time:22.7388,vol:77.251
time:22.9052,vol:77.71
time:23.0214,vol:78.515
time:23.1813,vol:79.51
time:23.2999,vol:80.075
time:23.4568,vol:80.781
time:23.6019,vol:81.822
time:23.7475,vol:82.885
time:23.8818,vol:83.926
time:24.0039,vol:85.389
time:24.1649,vol:86.829
time:24.2821,vol:88.42
time:24.4448,vol:89.739
time:24.5739,vol:91.45
time:24.7263,vol:93.241
time:24.8828,vol:96.041
time:25.0489,vol:97.05
time:25.1885,vol:98.489
time:25.3561,vol:99.333
time:25.519,vol:100.087
time:25.6794,vol:100.492
time:25.8303,vol:101.046
time:25.9904,vol:101.215
time:26.1423,vol:101.502
time:26.3042,vol:101.661
time:26.452,vol:101.805
time:26.6111,vol:101.955
time:26.7643,vol:102.316
time:26.9305,vol:102.589
time:27.0868,vol:103.593
time:27.2438,vol:104.502
time:27.3702,vol:105.902
time:27.5109,vol:108.743
time:27.6533,vol:110.398
time:27.7702,vol:112.783
time:27.9463,vol:114.895
time:28.0641,vol:116.126
time:28.2316,vol:117.148
time:28.3564,vol:118.021
time:28.5086,vol:119.065
time:28.6372,vol:119.586
time:28.7895,vol:119.953
time:28.9338,vol:120.43
time:29.0519,vol:120.588
time:29.2227,vol:122.308
time:29.3396,vol:123.967
time:29.5025,vol:125.432
time:29.6216,vol:127.667
time:29.776,vol:130.641
time:29.9067,vol:132.611
time:30.072,vol:133.94
time:30.2113,vol:137.032
time:30.3591,vol:139.581
time:30.4989,vol:140.881
time:30.6285,vol:142.259
time:30.7884,vol:143.035
time:30.9276,vol:143.442
time:31.1035,vol:145.047
time:31.2229,vol:146.102
time:31.3894,vol:148.033
time:31.5086,vol:150.23
