///1
time:41.8223,vol:396.376
time:41.9428,vol:398.298
time:42.0607,vol:398.917
time:42.167,vol:400.409
time:42.3042,vol:401.144
time:42.4197,vol:401.897
time:42.5308,vol:402.148
time:42.6737,vol:403.241
time:42.7766,vol:403.929
time:42.909,vol:404.78
time:43.0331,vol:406.382
time:43.1336,vol:408.539
time:43.274,vol:409.473
time:43.3899,vol:412.76
time:43.4903,vol:415.298
time:43.6367,vol:418.615
time:43.7467,vol:420.436
time:43.8735,vol:421.29
time:43.9886,vol:422.142
time:44.1042,vol:423.078
time:44.2478,vol:424.658
time:44.3616,vol:426.283
time:44.4848,vol:427.402
time:44.6433,vol:429.047
time:44.7364,vol:430.782
time:44.8768,vol:431.972
time:44.9812,vol:433.15
time:45.0756,vol:434.324
time:45.2085,vol:435.785
time:45.3101,vol:436.218
time:45.4312,vol:437.177
time:45.5764,vol:437.757
time:45.6746,vol:438.052
time:45.8322,vol:438.604
time:45.9398,vol:439.25
time:46.0638,vol:439.784
time:46.2253,vol:440.664
time:46.3322,vol:440.879
time:46.4791,vol:442.212
time:46.584,vol:442.918
time:46.7065,vol:443.39
time:46.8263,vol:444.068
time:46.9224,vol:444.314
time:47.0743,vol:445.608
time:47.1734,vol:446.607
time:47.2675,vol:447.73
time:47.4093,vol:449.741
time:47.511,vol:450.495
time:47.6197,vol:452.711
time:47.7629,vol:454.62
time:47.8557,vol:455.15
time:47.9771,vol:456.796
time:48.0993,vol:457.905
time:48.2398,vol:459.185
time:48.3758,vol:462.664
time:48.491,vol:465.167
time:48.6268,vol:467.018
time:48.7619,vol:468.942
time:48.8566,vol:469.774
time:49.0631,vol:471.735
time:49.1718,vol:474.38
time:49.3223,vol:475.733
time:49.4294,vol:477.494
time:49.5534,vol:479.065
time:49.7374,vol:480.391
time:49.8291,vol:482.314
time:49.9831,vol:484.182
time:50.0896,vol:485.629
time:50.2218,vol:487.61
time:50.3407,vol:489.477
time:50.4377,vol:490.248
time:50.6377,vol:492.171
time:50.7523,vol:494.909
time:50.8953,vol:496.419
time:50.9959,vol:497.614
time:51.094,vol:499.166
time:51.3066,vol:501.395
time:51.4066,vol:504.344
time:51.5544,vol:506.345
time:51.6577,vol:507.192
time:51.7522,vol:508.986
time:51.9,vol:510.267
time:51.9952,vol:510.784
time:52.191,vol:512.425
time:52.3083,vol:514.853
time:52.4323,vol:516.603
time:52.5676,vol:518.369
time:52.6698,vol:519.599
time:52.9097,vol:521.24
time:53.0068,vol:523.174
time:53.1463,vol:524.306
time:53.2522,vol:524.89
time:53.3491,vol:525.819
time:53.4961,vol:526.696
time:53.5934,vol:527.416
time:53.7714,vol:528.339
time:53.8904,vol:530.057
time:54.0131,vol:531.281
time:54.1313,vol:531.73
time:54.2359,vol:532.811
time:54.3858,vol:533.837
time:54.4976,vol:534.602
time:54.6281,vol:535.211
time:54.7533,vol:535.955
time:54.8546,vol:536.93
time:54.9507,vol:537.832
time:55.1052,vol:538.503
time:55.2011,vol:539.46
time:55.3563,vol:540.19
time:55.4619,vol:540.469
time:55.5534,vol:541.046
time:55.6909,vol:541.487
time:55.7856,vol:541.831
time:55.9069,vol:542.242
time:56.0321,vol:542.829
time:56.1639,vol:543.382
time:56.3017,vol:543.815
time:56.4146,vol:544.445
time:56.5374,vol:544.973
time:56.6531,vol:545.232
time:56.7556,vol:545.798
time:56.8922,vol:546.062
time:57.0197,vol:546.541
time:57.1162,vol:546.921
time:57.2643,vol:547.462
time:57.3714,vol:547.928
time:57.5007,vol:548.31
time:57.6225,vol:548.803
time:57.7501,vol:549.041
time:57.8889,vol:549.861
time:57.9907,vol:550.257
time:58.1188,vol:550.751
time:58.2377,vol:551.478
time:58.373,vol:552.365
time:58.5441,vol:554.286
time:58.636,vol:554.989
time:58.7995,vol:556.831
time:58.9044,vol:557.628
time:59.0059,vol:558.531
time:59.1479,vol:558.864
time:59.255,vol:560.073
time:59.3506,vol:561.309
time:59.4961,vol:562.541
time:59.5887,vol:562.84
time:59.7239,vol:562.971
time:59.8337,vol:563.041
time:59.9625,vol:563.051
time:60.1026,vol:563.116
time:60.2107,vol:563.142
time:60.3432,vol:563.172
time:60.4574,vol:563.192
time:60.5587,vol:563.257
time:60.7072,vol:563.417
time:60.8225,vol:563.936
time:60.9543,vol:564.167
time:61.0743,vol:565.175
time:61.1757,vol:566.487
time:61.3269,vol:567.485
time:61.4549,vol:569.367
time:61.6231,vol:570.368
time:61.7298,vol:570.55
time:61.8329,vol:570.923
time:61.9806,vol:571.208
time:62.0928,vol:571.344
time:62.2168,vol:571.602
time:62.3686,vol:571.674
time:62.4624,vol:571.974
time:62.6186,vol:572.467
time:62.7211,vol:572.616
time:62.8451,vol:573.027
time:62.9674,vol:573.329
time:63.0635,vol:573.435
time:63.2315,vol:573.515
time:63.3346,vol:573.515
time:63.471,vol:573.515
time:63.6329,vol:573.517
time:63.7181,vol:573.526
time:63.8657,vol:573.549
time:63.9726,vol:573.589
time:64.0661,vol:573.644
